Día	Orden	Grupo	Ejercicio	Equipo	Accesorio polea	Peso sugerido	Series	Reps	RIR	Descanso	Progresión	Link MuscleWiki	Regla
LUNES - Empuje A	1	Tobillo	Equilibrio en un pie	Peso corporal	-	Peso corporal	2	30 s por pie	-	0	Semanas 1-2 ojos abiertos; semana 3 en adelante ojos cerrados	https://workoutlabs.com/exercise-guide/single-leg-balance/	manual
LUNES - Empuje A	2	Tobillo	Eversión de tobillo en polea	Polea baja	Tobillera	2.5 kg	2	15 por pie	-	0	Sube el disco más chico que acepte tu polea	https://www.rehabhero.ca/exercise/ankle-eversion-with-band	manual
LUNES - Empuje A	3	Pecho	Press de banca	Barra + banco plano + postes J	-	50 kg	3	8-10	3	2-3 min	Cuando hagas 10/10/10 con 3 RIR, sube 5 kg	https://musclewiki.com/exercise/barbell-bench-press	todas 10 +5 kg
LUNES - Empuje A	4	Pecho superior	Press inclinado con barra	Barra + banco inclinado + postes J	-	30 kg	3	10-12	2	2 min	Cuando hagas 12/12/12, sube 5 kg	https://musclewiki.com/exercise/barbell-incline-bench-press	todas 12 +5 kg
LUNES - Empuje A	5	Hombro frontal	Press militar sentado con mancuernas	Mancuernas + banco	-	35 lb cada una	3	10-12	2	2 min	Cuando hagas 12/12/12, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-seated-overhead-press	todas 12 +5 lb
LUNES - Empuje A	6	Hombro lateral	Elevación lateral	Mancuernas	-	15 lb cada una	3	12-15	1	90 s	Cuando hagas 15/15/15, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-lateral-raise	todas 15 +5 lb
LUNES - Empuje A	7	Tríceps	Jalón de tríceps con cuerda	Polea alta	Cuerda	15 kg	3	12-15	1	90 s	Cuando hagas 15/15/15, sube 5 kg (par de 2.5)	https://musclewiki.com/exercise/cable-rope-pushdown	todas 15 +5 kg
LUNES - Empuje A	8	Core	Plancha	Peso corporal + tatami	-	Peso corporal	3	40 s	-	60 s	Sube 10 s por semana hasta llegar a 70 s	https://musclewiki.com/es-es/exercise/hand-plank	tiempo +10 hasta 70
MARTES - Pierna A	1	Tobillo	Equilibrio en un pie	Peso corporal	-	Peso corporal	2	30 s por pie	-	0	Semanas 1-2 ojos abiertos; semana 3 en adelante ojos cerrados	https://workoutlabs.com/exercise-guide/single-leg-balance/	manual
MARTES - Pierna A	2	Tobillo	Eversión de tobillo en polea	Polea baja	Tobillera	2.5 kg	2	15 por pie	-	0	Sube el disco más chico que acepte tu polea	https://www.rehabhero.ca/exercise/ankle-eversion-with-band	manual
